Date,S_J_exact,S_J_normalized,S_J_return,rolling_sharpe_60d,portfolio_return_aux,portfolio_wealth_aux,weight_risky_t,weight_risky_prevday
2000-09-05,11.71912963854493,0.9933959312984608,0.05513881527108914,1.0681758741249665,0.04804943462279322,0.8741245873004415,0.16633531602891083,0.18252540115591664
2000-09-06,11.189533168998148,0.9485036061596186,-0.046243715603052724,0.47684666313239776,-0.029466220266058663,0.8487432225513742,0.17819964792389864,0.16633531602891083
2000-09-07,11.128622338123895,0.9433403753200624,-0.005458424383520013,0.23220525098145872,-0.014214710356187304,0.836763926297984,0.17615000584785803,0.17819964792389864
2000-09-08,11.157214704114276,0.9457640655527927,0.0025659688370092693,0.35727522710947124,0.006244565033193204,0.842005501699671,0.18325511052358534,0.17615000584785803
2000-09-11,11.31525732638172,0.9591608708424825,0.014065673565613973,-0.01955717948613206,-0.026147150782533917,0.8202747929906421,0.1391241192414569,0.18325511052358534
2000-09-12,11.40693761676441,0.9669323376881835,0.008069712290725605,0.1369030308680203,0.009106059324888942,0.8277783761049344,0.14046506814550053,0.1391241192414569
2000-09-13,11.476515414148224,0.9728302416248765,0.006081076287071406,0.2950004925403739,-0.01430813962869043,0.8160187374157422,0.11742515180679015,0.14046506814550053
2000-09-14,10.985628532493099,0.9312192136727583,-0.043714887921373465,0.1424550998426878,-0.019025419469002325,0.8006403922434562,0.13565936137331186,0.11742515180679015
2000-09-15,10.954377429196084,0.9285701501483021,-0.0028487799398564492,-0.05364863084933843,-0.007016114246556668,0.7950426678806072,0.1340308875275242,0.13565936137331186
2000-09-18,10.900072601167535,0.9239668906164688,-0.004969691730581056,-0.4971837147179853,0.03602061858816449,0.8242026235874391,0.1837978416021996,0.1340308875275242
2000-09-19,10.932025288925434,0.9266754253790118,0.0029271314862395173,-0.8818331169964022,-0.012925005835292578,0.813618348125779,0.17448409276864577,0.1837978416021996
2000-09-20,10.711475579132447,0.9079800792982927,-0.020380930557927873,-1.3241047707729643,-0.05653781824231436,0.7688943532011642,0.14216839762458866,0.17448409276864577
2000-09-21,10.420265624524799,0.8832950734161694,-0.027563123001483485,-1.404271147819193,-0.0024202022341608346,0.7670357234069282,0.15881028449785564,0.14216839762458866
2000-09-22,10.769611829859276,0.9129081171913994,0.03297592092566386,-1.884629398891989,0.059781105521305354,0.8142883008965512,0.1901646649643235,0.15881028449785564
2000-09-25,10.371605504306736,0.8791702990573187,-0.03765661644915676,-2.107102367118382,0.005522186187813027,0.8187973910638338,0.2378670211598977,0.1901646649643235
2000-09-26,10.41823545506464,0.8831229819602531,0.0044858475870864336,-1.7578685805291943,0.01560649895507941,0.8316761867490177,0.2555153594667042,0.2378670211598977
2000-09-27,10.390358951535028,0.8807599732693977,-0.0026793275568304333,-1.9584915379079255,-0.003087326286929891,0.8291124905151811,0.2665595626062325,0.2555153594667042
2000-09-28,10.573571990043535,0.8962904002404041,0.017479327107523958,-1.8637921429291893,0.012074800574083456,0.8391845451412789,0.2500974432502503,0.2665595626062325
2000-09-29,10.586793886945578,0.8974111813044976,0.0012496852558827039,-1.7283070537487852,-0.014204114040041372,0.8273489283789645,0.24226741127054593,0.2500974432502503
2000-10-02,10.707181538165365,0.9076160861557049,0.011307323456474153,-1.5587578426521769,0.008629719046319904,0.8345196131805073,0.258312626305087,0.24226741127054593
2000-10-03,10.525132241960904,0.8921843061751812,-0.017148744077592842,-1.4802011714212466,-0.014917719897616019,0.8221628796400089,0.26234907086398496,0.258312626305087
2000-10-04,10.756448974117816,0.9117923408717291,0.021739535225591095,-1.0187273636376324,0.0191020291772588,0.8380188171122573,0.2580870805003198,0.26234907086398496
2000-10-05,10.755212763174764,0.9116875509292222,-0.0001149340259724896,-1.0077619024972742,0.005814335168947183,0.8429055321254297,0.28234708116854207,0.2580870805003198
2000-10-06,10.794161134668046,0.9149890890950659,0.003614807009139947,-1.2051690874263767,-0.02574099156192885,0.8214851812163863,0.2675053837030986,0.28234708116854207
2000-10-09,10.922817565933965,0.9258949139555214,0.011848603638913897,-1.397139372094718,-0.020901290585965893,0.8044932757005228,0.24674240881171378,0.2675053837030986
2000-10-10,11.062780944044047,0.9377591952318404,0.012732450189311718,-1.1425595232333885,0.007928947748946251,0.8108974163448326,0.2414238539301384,0.24674240881171378
2000-10-11,11.319462505049794,0.9595173313910123,0.02293718367832447,-1.0106130430250353,-0.016901148355019623,0.7973074850272617,0.2242791231384112,0.2414238539301384
2000-10-12,11.673755633085939,0.9895497111609668,0.03081962422296335,-0.9165338299968825,-0.040374458363004614,0.7657578132604562,0.17425275597689982,0.2242791231384112
2000-10-13,12.158187766960443,1.0306135892495203,0.04065961912462977,-0.44204739312172825,0.02067807480146341,0.7817570573060606,0.13661071894643284,0.17425275597689982
2000-10-16,12.470207891648128,1.0570626116520465,0.025339597786784424,-0.25519922531309147,2.4998791895256e-05,0.7817766005323263,0.13357263627108046,0.13661071894643284
2000-10-17,12.060042593740967,1.0222941134215426,-0.03344470778393352,-0.37842112428907587,-0.023950691508625725,0.7632749583316565,0.15288784946757647,0.13357263627108046
